hour,from,to,number of people
0,1,1,35
0,1,2,8
0,1,3,3
0,1,5,2
0,1,11,2
0,1,12,18
0,1,18,4
0,1,14,2
0,1,50,1
0,2,1,8
0,2,2,4
0,2,3,1
0,2,12,7
0,2,50,1
0,2,18,1
0,3,1,6
0,3,2,1
0,3,3,2
0,3,14,1
0,4,18,1
0,4,12,1
0,5,1,3
0,5,2,1
0,5,12,2
0,5,5,1
0,6,1,1
0,7,2,1
0,7,3,1
0,7,18,1
0,11,1,4
0,11,2,1
0,11,12,3
0,11,5,2
0,11,7,1
0,12,1,60
0,12,2,2
0,12,3,1
0,12,12,8
0,12,18,5
0,12,14,1
0,12,16,2
0,12,50,1
0,18,1,23
0,18,2,4
0,18,3,1
0,18,4,2
0,18,5,1
0,18,7,2
0,18,11,4
0,18,12,20
0,18,50,1
0,18,14,1
0,18,18,5
0,14,1,4
0,14,14,1
0,15,15,2
0,16,1,7
0,16,12,1
0,50,1,2
0,50,18,1
1,1,1,17
1,1,2,1
1,1,3,2
1,1,5,1
1,1,11,1
1,1,12,5
1,1,18,3
1,1,50,2
1,2,1,2
1,2,18,3
1,2,12,4
1,3,1,5
1,3,2,1
1,3,3,2
1,3,12,1
1,4,1,1
1,4,18,1
1,5,1,1
1,5,12,1
1,7,2,1
1,11,1,1
1,11,12,4
1,12,1,30
1,12,3,1
1,12,5,2
1,12,12,6
1,12,50,1
1,12,14,1
1,12,18,4
1,13,12,1
1,15,15,1
1,16,12,1
1,50,18,1
1,18,1,14
1,18,2,4
1,18,3,1
1,18,4,2
1,18,5,1
1,18,7,1
1,18,11,3
1,18,12,4
1,18,13,1
1,18,14,1
1,18,18,5
2,1,1,16
2,1,2,2
2,1,3,2
2,1,5,1
2,1,6,1
2,1,11,2
2,1,12,9
2,1,14,1
2,1,18,11
2,2,1,3
2,2,18,2
2,2,11,4
2,2,12,2
2,2,2,1
2,3,1,8
2,3,2,1
2,3,3,5
2,5,5,1
2,7,1,1
2,7,18,1
2,11,1,2
2,11,2,1
2,11,12,3
2,11,5,5
2,12,1,13
2,12,2,2
2,12,5,5
2,12,11,1
2,12,12,3
2,12,50,2
2,12,18,1
2,13,13,1
2,14,1,2
2,15,15,1
2,50,1,1
2,18,1,7
2,18,4,1
2,18,7,1
2,18,11,1
2,18,12,7
2,18,18,1
3,1,1,175
3,1,2,6
3,1,3,2
3,1,5,13
3,1,8,1
3,1,11,4
3,1,12,15
3,1,50,1
3,1,14,1
3,1,13,1
3,1,16,1
3,1,18,13
3,2,1,27
3,2,2,7
3,2,11,2
3,2,12,11
3,2,50,1
3,2,18,2
3,3,1,28
3,3,3,7
3,3,12,1
3,4,1,2
3,5,1,1
3,5,18,1
3,5,12,1
3,5,5,12
3,5,15,1
3,6,1,2
3,7,1,1
3,11,1,9
3,11,2,4
3,11,5,11
3,11,11,2
3,11,12,4
3,11,16,1
3,11,18,1
3,12,1,53
3,12,2,2
3,12,5,12
3,12,11,1
3,12,12,12
3,12,18,1
3,50,1,6
3,50,18,1
3,50,12,1
3,50,50,1
3,14,1,5
3,14,2,1
3,14,12,1
3,14,5,1
3,14,14,2
3,13,12,1
3,13,13,1
3,16,1,2
3,18,1,20
3,18,3,1
3,18,5,10
3,18,12,6
3,18,13,2
3,18,18,4
3,15,15,1
4,1,1,717
4,1,2,319
4,1,3,59
4,1,4,2
4,1,5,29
4,1,16,2
4,1,11,160
4,1,12,133
4,1,13,43
4,1,14,36
4,1,15,2
4,1,50,19
4,1,18,147
4,1,6,1
4,2,1,11
4,2,2,12
4,2,3,2
4,2,5,2
4,2,11,3
4,2,12,14
4,2,14,3
4,2,18,4
4,3,3,5
4,3,1,14
4,3,2,4
4,3,11,1
4,4,4,1
4,5,1,4
4,5,18,6
4,5,11,4
4,5,12,6
4,5,2,1
4,6,1,1
4,7,18,1
4,11,1,8
4,11,2,2
4,11,3,1
4,11,5,1
4,11,11,1
4,11,12,5
4,11,18,2
4,12,1,29
4,12,2,9
4,12,3,1
4,12,5,1
4,12,7,1
4,12,11,12
4,12,12,7
4,12,50,2
4,12,14,1
4,12,18,4
4,13,1,2
4,13,2,2
4,13,18,4
4,13,14,1
4,14,1,3
4,14,2,1
4,14,11,1
4,14,12,2
4,14,14,2
4,15,1,1
4,50,1,4
4,50,2,1
4,50,18,4
4,50,50,1
4,18,1,5
4,18,50,1
4,18,4,1
4,18,5,3
4,18,7,1
4,18,11,1
4,18,12,3
4,18,13,1
4,18,18,3
4,16,1,1
5,1,1,33
5,1,2,125
5,1,3,40
5,1,5,16
5,1,7,2
5,1,11,99
5,1,12,59
5,1,18,210
5,1,14,7
5,1,13,14
5,1,50,13
5,2,1,63
5,2,2,53
5,2,3,12
5,2,5,1
5,2,6,1
5,2,11,42
5,2,12,39
5,2,13,2
5,2,14,2
5,2,16,2
5,2,50,2
5,2,18,34
5,3,1,16
5,3,2,12
5,3,3,9
5,3,11,1
5,3,12,2
5,3,18,4
5,4,1,1
5,4,2,1
5,4,14,1
5,5,11,2
5,5,2,3
5,5,3,2
5,5,12,2
5,5,5,3
5,7,2,1
5,11,1,47
5,11,2,15
5,11,3,5
5,11,5,4
5,11,7,2
5,11,12,23
5,11,18,27
5,11,13,2
5,11,50,3
5,12,1,37
5,12,2,20
5,12,3,3
5,12,4,2
5,12,5,2
5,12,11,6
5,12,12,11
5,12,13,2
5,12,14,1
5,12,50,2
5,12,18,5
5,13,1,18
5,13,2,5
5,13,5,1
5,13,11,4
5,13,12,2
5,13,13,3
5,13,18,1
5,14,1,9
5,14,2,2
5,14,3,1
5,14,5,1
5,14,11,3
5,14,12,4
5,14,50,2
5,14,14,1
5,14,18,2
5,15,1,1
5,50,1,1
5,50,2,2
5,50,4,1
5,50,11,2
5,50,12,3
5,50,18,7
5,18,1,4
5,18,2,6
5,18,3,5
5,18,5,17
5,18,6,1
5,18,7,3
5,18,11,10
5,18,12,8
5,18,13,9
5,18,18,11
6,1,1,48
6,1,2,214
6,1,3,85
6,1,4,3
6,1,5,13
6,1,16,3
6,1,7,4
6,1,11,181
6,1,12,109
6,1,13,12
6,1,14,15
6,1,15,1
6,1,50,16
6,1,18,348
6,2,1,86
6,2,2,115
6,2,3,42
6,2,4,2
6,2,5,8
6,2,6,2
6,2,7,2
6,2,11,87
6,2,12,91
6,2,50,13
6,2,14,3
6,2,13,6
6,2,16,1
6,2,18,87
6,2,15,2
6,3,1,39
6,3,2,30
6,3,3,39
6,3,4,1
6,3,5,4
6,3,7,1
6,3,11,21
6,3,12,18
6,3,50,5
6,3,18,46
6,4,1,1
6,4,50,1
6,4,3,1
6,4,12,2
6,4,5,1
6,5,1,5
6,5,2,8
6,5,3,2
6,5,5,3
6,5,11,2
6,5,13,2
6,5,15,1
6,5,18,12
6,6,1,2
6,7,2,1
6,7,18,1
6,8,1,1
6,8,18,1
6,8,5,1
6,11,1,84
6,11,2,65
6,11,3,7
6,11,4,3
6,11,5,18
6,11,6,2
6,11,7,3
6,11,8,1
6,11,11,7
6,11,12,54
6,11,50,11
6,11,14,4
6,11,13,6
6,11,16,1
6,11,18,75
6,11,15,2
6,12,1,48
6,12,2,43
6,12,3,4
6,12,4,1
6,12,5,5
6,12,6,1
6,12,7,1
6,12,11,30
6,12,12,22
6,12,13,3
6,12,14,8
6,12,50,6
6,12,18,20
6,50,1,4
6,50,2,2
6,50,3,1
6,50,5,2
6,50,11,6
6,50,12,3
6,50,50,1
6,50,14,2
6,50,13,1
6,50,18,23
6,14,1,11
6,14,2,8
6,14,3,3
6,14,11,3
6,14,12,5
6,14,13,1
6,14,14,2
6,14,16,1
6,14,50,3
6,14,18,4
6,13,1,23
6,13,2,7
6,13,3,2
6,13,5,1
6,13,11,10
6,13,12,5
6,13,18,4
6,13,13,7
6,13,50,2
6,16,1,2
6,16,2,1
6,16,13,1
6,18,1,14
6,18,2,7
6,18,3,14
6,18,4,1
6,18,5,29
6,18,6,4
6,18,7,9
6,18,8,2
6,18,9,1
6,18,10,1
6,18,11,20
6,18,12,21
6,18,13,20
6,18,14,6
6,18,15,1
6,18,50,2
6,18,18,28
6,15,1,2
6,15,11,1
6,15,15,1
7,1,1,34
7,1,2,181
7,1,3,44
7,1,4,2
7,1,5,20
7,1,6,2
7,1,7,4
7,1,8,4
7,1,11,207
7,1,12,96
7,1,50,12
7,1,14,12
7,1,15,7
7,1,16,6
7,1,18,339
7,1,13,22
7,2,1,120
7,2,2,162
7,2,3,70
7,2,4,2
7,2,5,14
7,2,6,1
7,2,7,3
7,2,11,177
7,2,12,115
7,2,18,94
7,2,14,6
7,2,13,10
7,2,16,2
7,2,50,21
7,2,15,3
7,3,1,38
7,3,2,49
7,3,3,54
7,3,4,1
7,3,5,8
7,3,7,1
7,3,8,1
7,3,10,1
7,3,11,29
7,3,12,18
7,3,13,4
7,3,14,1
7,3,15,2
7,3,50,11
7,3,18,63
7,4,2,2
7,4,11,1
7,4,50,1
7,5,1,7
7,5,2,4
7,5,3,2
7,5,5,6
7,5,11,5
7,5,12,5
7,5,18,4
7,6,18,1
7,6,11,1
7,6,12,1
7,6,6,1
7,7,2,2
7,7,3,1
7,7,7,1
7,7,11,1
7,7,12,1
7,7,13,2
7,7,18,5
7,8,8,2
7,9,8,1
7,9,7,1
7,11,1,132
7,11,2,115
7,11,3,28
7,11,4,5
7,11,5,13
7,11,6,2
7,11,7,5
7,11,11,8
7,11,12,100
7,11,13,15
7,11,14,5
7,11,15,7
7,11,50,19
7,11,18,100
7,11,16,1
7,12,1,58
7,12,2,62
7,12,3,4
7,12,4,1
7,12,5,4
7,12,16,3
7,12,7,6
7,12,8,2
7,12,11,32
7,12,12,45
7,12,13,7
7,12,14,5
7,12,15,3
7,12,50,7
7,12,18,53
7,12,6,2
7,13,1,19
7,13,2,13
7,13,3,2
7,13,5,3
7,13,7,1
7,13,9,1
7,13,11,16
7,13,12,6
7,13,13,7
7,13,15,1
7,13,16,1
7,13,18,10
7,14,1,13
7,14,2,12
7,14,4,1
7,14,11,2
7,14,12,6
7,14,13,2
7,14,14,5
7,14,50,1
7,14,18,6
7,15,1,2
7,15,18,2
7,15,12,1
7,15,15,2
7,50,1,4
7,50,2,6
7,50,3,3
7,50,4,3
7,50,5,1
7,50,7,2
7,50,11,4
7,50,12,4
7,50,13,2
7,50,14,1
7,50,50,3
7,50,18,28
7,18,1,16
7,18,2,30
7,18,3,16
7,18,4,4
7,18,5,52
7,18,6,3
7,18,7,18
7,18,8,6
7,18,9,1
7,18,10,2
7,18,11,27
7,18,12,35
7,18,13,20
7,18,14,15
7,18,15,5
7,18,50,7
7,18,18,72
7,16,1,4
7,16,2,1
7,16,3,1
7,16,4,1
7,16,7,1
7,16,12,2
7,16,18,2
8,1,16,6
8,1,2,189
8,1,3,31
8,1,1,24
8,1,5,19
8,1,6,4
8,1,7,19
8,1,8,12
8,1,9,2
8,1,11,158
8,1,12,123
8,1,13,14
8,1,14,15
8,1,15,5
8,1,50,11
8,1,18,226
8,1,4,5
8,2,1,110
8,2,2,192
8,2,3,32
8,2,4,7
8,2,5,14
8,2,6,4
8,2,7,15
8,2,8,2
8,2,9,1
8,2,11,171
8,2,12,128
8,2,13,12
8,2,14,5
8,2,15,1
8,2,16,7
8,2,50,5
8,2,18,99
8,50,1,3
8,50,2,12
8,50,3,1
8,50,5,3
8,50,7,1
8,50,8,1
8,50,9,1
8,50,11,1
8,50,12,7
8,50,50,3
8,50,14,4
8,50,13,3
8,50,18,21
8,4,12,3
8,4,18,7
8,4,4,1
8,4,2,2
8,4,7,1
8,5,1,6
8,5,2,10
8,5,3,2
8,5,4,1
8,5,5,10
8,5,7,1
8,5,11,4
8,5,12,4
8,5,50,1
8,5,14,1
8,5,18,16
8,6,1,1
8,6,11,1
8,6,6,2
8,6,14,1
8,7,1,1
8,7,2,5
8,7,7,4
8,7,11,4
8,7,12,3
8,7,18,10
8,8,2,1
8,8,8,2
8,8,11,2
8,8,12,1
8,8,14,1
8,8,18,5
8,9,9,1
8,9,18,1
8,10,10,1
8,10,18,1
8,10,2,1
8,11,1,119
8,11,2,154
8,11,3,21
8,11,4,3
8,11,5,21
8,11,6,4
8,11,7,8
8,11,8,6
8,11,9,1
8,11,11,6
8,11,12,156
8,11,50,12
8,11,14,11
8,11,13,18
8,11,16,8
8,11,18,94
8,11,15,5
8,12,1,57
8,12,2,79
8,12,3,8
8,12,4,6
8,12,5,11
8,12,6,2
8,12,7,8
8,12,8,3
8,12,10,1
8,12,11,49
8,12,12,52
8,12,13,10
8,12,14,7
8,12,15,2
8,12,16,6
8,12,50,10
8,12,18,50
8,13,1,22
8,13,2,12
8,13,50,1
8,13,5,3
8,13,7,3
8,13,11,9
8,13,12,11
8,13,13,4
8,13,18,20
8,14,1,6
8,14,2,4
8,14,3,1
8,14,4,1
8,14,5,1
8,14,7,1
8,14,11,11
8,14,12,4
8,14,50,1
8,14,14,5
8,14,15,2
8,14,16,2
8,14,18,9
8,14,13,2
8,15,1,2
8,15,3,1
8,15,11,2
8,15,12,3
8,15,50,1
8,15,14,2
8,15,15,3
8,15,18,5
8,16,1,10
8,16,2,6
8,16,3,1
8,16,11,2
8,16,12,3
8,16,14,1
8,16,16,1
8,18,1,8
8,18,2,41
8,18,3,12
8,18,4,8
8,18,5,34
8,18,6,9
8,18,7,36
8,18,8,25
8,18,10,1
8,18,11,50
8,18,12,37
8,18,18,68
8,18,14,31
8,18,13,22
8,18,50,1
8,18,15,2
8,3,1,18
8,3,2,35
8,3,3,41
8,3,5,3
8,3,6,1
8,3,7,3
8,3,8,2
8,3,11,28
8,3,12,13
8,3,50,3
8,3,14,3
8,3,13,3
8,3,18,43
8,3,15,1
9,1,1,23
9,1,2,94
9,1,3,26
9,1,4,5
9,1,5,12
9,1,16,9
9,1,7,23
9,1,8,6
9,1,11,74
9,1,12,96
9,1,13,15
9,1,14,17
9,1,15,7
9,1,50,18
9,1,18,169
9,1,6,5
9,2,1,76
9,2,2,208
9,2,3,33
9,2,4,3
9,2,5,7
9,2,6,4
9,2,7,24
9,2,8,6
9,2,9,4
9,2,10,1
9,2,11,150
9,2,12,147
9,2,18,80
9,2,14,8
9,2,15,5
9,2,16,5
9,2,50,13
9,2,13,10
9,3,1,15
9,3,2,27
9,3,3,30
9,3,5,1
9,3,7,10
9,3,11,12
9,3,12,10
9,3,13,6
9,3,14,5
9,3,15,1
9,3,16,2
9,3,50,1
9,3,18,21
9,4,1,1
9,4,2,5
9,4,4,2
9,4,7,1
9,4,11,2
9,4,12,2
9,4,18,6
9,4,14,1
9,4,13,1
9,4,50,2
9,5,1,5
9,5,2,3
9,5,3,3
9,5,5,14
9,5,7,1
9,5,11,4
9,5,12,5
9,5,50,1
9,5,13,2
9,5,16,1
9,5,18,13
9,16,1,6
9,16,2,7
9,16,3,2
9,16,5,1
9,16,11,5
9,16,12,4
9,16,50,1
9,16,16,2
9,16,18,4
9,7,1,2
9,7,2,16
9,7,3,1
9,7,7,9
9,7,11,5
9,7,12,7
9,7,13,1
9,7,15,1
9,7,16,1
9,7,50,1
9,7,18,24
9,8,1,1
9,8,2,2
9,8,5,1
9,8,7,10
9,8,8,7
9,8,11,4
9,8,12,2
9,8,16,1
9,8,18,11
9,9,18,4
9,9,2,1
9,9,13,1
9,9,7,1
9,10,10,1
9,10,18,1
9,10,12,1
9,10,2,1
9,11,1,76
9,11,2,130
9,11,3,19
9,11,4,4
9,11,5,18
9,11,7,21
9,11,8,4
9,11,10,1
9,11,11,2
9,11,12,155
9,11,50,7
9,11,14,6
9,11,15,5
9,11,16,9
9,11,18,81
9,11,13,19
9,12,1,53
9,12,2,98
9,12,3,9
9,12,4,5
9,12,5,10
9,12,6,4
9,12,7,15
9,12,8,2
9,12,11,25
9,12,12,74
9,12,13,13
9,12,14,11
9,12,15,4
9,12,16,8
9,12,50,8
9,12,18,71
9,13,1,15
9,13,2,7
9,13,3,2
9,13,5,2
9,13,6,1
9,13,7,4
9,13,11,15
9,13,12,9
9,13,13,7
9,13,50,1
9,13,18,13
9,14,1,6
9,14,2,12
9,14,3,1
9,14,4,2
9,14,5,1
9,14,7,4
9,14,11,12
9,14,12,6
9,14,14,10
9,14,15,6
9,14,18,12
9,15,1,1
9,15,2,1
9,15,8,1
9,15,12,3
9,15,14,6
9,15,15,5
9,15,18,2
9,50,1,5
9,50,2,5
9,50,7,4
9,50,11,2
9,50,12,6
9,50,18,16
9,50,14,2
9,50,15,1
9,50,50,1
9,50,13,2
9,18,1,13
9,18,2,44
9,18,3,16
9,18,4,10
9,18,5,21
9,18,6,5
9,18,7,94
9,18,8,16
9,18,9,1
9,18,11,49
9,18,12,57
9,18,13,16
9,18,14,41
9,18,15,11
9,18,50,5
9,18,18,73
9,18,16,1
9,6,2,2
9,6,3,1
9,6,6,5
9,6,11,2
9,6,12,4
9,6,13,1
9,6,18,3
10,1,1,20
10,1,2,70
10,1,3,16
10,1,4,6
10,1,5,10
10,1,6,4
10,1,7,23
10,1,8,6
10,1,9,2
10,1,11,36
10,1,12,90
10,1,13,10
10,1,14,7
10,1,15,2
10,1,50,9
10,1,18,101
10,1,16,3
10,2,1,65
10,2,2,186
10,2,3,32
10,2,4,5
10,2,5,8
10,2,6,1
10,2,7,27
10,2,8,2
10,2,9,3
10,2,11,101
10,2,12,122
10,2,50,9
10,2,14,4
10,2,13,9
10,2,16,12
10,2,18,73
10,2,15,3
10,3,1,10
10,3,2,41
10,3,3,20
10,3,5,2
10,3,6,1
10,3,7,5
10,3,11,10
10,3,12,15
10,3,50,4
10,3,14,2
10,3,13,2
10,3,16,3
10,3,18,21
10,4,1,2
10,4,2,3
10,4,4,5
10,4,7,2
10,4,11,2
10,4,12,6
10,4,13,1
10,4,18,4
10,5,1,2
10,5,2,8
10,5,3,1
10,5,5,12
10,5,7,2
10,5,8,1
10,5,11,8
10,5,12,9
10,5,13,2
10,5,15,1
10,5,16,1
10,5,50,1
10,5,18,16
10,6,1,1
10,6,5,1
10,6,6,2
10,6,11,3
10,6,13,2
10,6,18,4
10,7,1,4
10,7,2,44
10,7,3,4
10,7,4,1
10,7,5,1
10,7,7,26
10,7,8,2
10,7,9,1
10,7,11,17
10,7,12,14
10,7,13,3
10,7,15,2
10,7,50,2
10,7,18,51
10,8,2,3
10,8,3,1
10,8,4,2
10,8,6,1
10,8,7,6
10,8,8,6
10,8,11,2
10,8,12,1
10,8,16,1
10,8,18,10
10,9,18,3
10,9,12,1
10,9,2,2
10,9,7,1
10,10,2,1
10,10,11,1
10,10,18,1
10,11,1,39
10,11,2,78
10,11,3,8
10,11,4,3
10,11,5,43
10,11,6,12
10,11,7,13
10,11,8,2
10,11,11,3
10,11,12,92
10,11,13,11
10,11,14,2
10,11,15,1
10,11,16,5
10,11,50,5
10,11,18,63
10,12,1,37
10,12,2,115
10,12,3,12
10,12,4,5
10,12,5,21
10,12,6,8
10,12,7,23
10,12,8,2
10,12,11,35
10,12,12,94
10,12,13,8
10,12,14,14
10,12,15,4
10,12,16,9
10,12,50,8
10,12,18,68
10,13,1,14
10,13,2,15
10,13,3,2
10,13,5,2
10,13,7,4
10,13,11,7
10,13,12,17
10,13,13,4
10,13,15,1
10,13,18,17
10,14,1,4
10,14,2,9
10,14,5,1
10,14,7,3
10,14,11,7
10,14,12,15
10,14,13,1
10,14,14,15
10,14,15,5
10,14,18,20
10,15,1,1
10,15,2,3
10,15,7,2
10,15,11,3
10,15,12,1
10,15,13,1
